extras_productidnew_bi_strs,issnnum_en_bi_strs,issnnum_fr_bi_strs
83-242-X,1195-4183,1195-4183
21-522-X,0835-6246,0835-6246
82-214-X,1927-775X,1927-775X
82-216-X,1201-7329,1201-7329
82-217-X,1195-4019,1195-4019
82-219-X,1195-4078,1195-4078
82-220-X,1195-4086,1195-4086
71F0031X,1712-8102,1712-8102
87-517-X,0-660-54221-8,0-660-54221-8
72-208-X,0835-233X,0835-233X
82-003-S,1708-7678,1708-7678
64-210-X,0835-1090,0835-1090
71F0004X,1480-5502,1480-5502
87-509-X,0-660-51865-1,0-660-51865-1
82-219-X,1195-4078,1195-4078
82-228-X,1918-9311,1918-9311
88F0006X,1921-300X,1921-300X
65-202-X,1181-6767,1181-6767
65-507-M,1712-1345,1712-1345
85-226-X,1492-8590,1492-8590
87F0005X,1708-8763,1708-8763
85-402-X,1209-7209,1209-7209
85-542-X,0-660-16969-X,0-660-16969-X
91-002-X,0835-4057,0835-4057
89-613-M,1710-2944,1710-2944
81-261-X,0840-7150,0840-7150
82-231-X,1715-8168,1715-8168
92-131-G,0-662-36287-X,0-662-36287-X
65F0021X,1492-7284,1492-7284
85-555-X,0-660-18760-4,0-660-18760-4
82-546-X,0-660-52855-X,0-660-52855-X
82-566-X,0-660-58922-2,0-660-58922-2
82-573-G,0-662-29354-1,0-662-29354-1
67-001-X,0847-074X,0847-074X
67F0001M,1709-8157,1709-8157
89-524-M,0-660-14542-1,0-660-14542-1
81-590-X,1712-5464,1712-5464
68-213-X,1492-1502,1492-1502
26-213-X,1703-4930,1703-4930
88-221-X,1916-2561,1916-2561
82-603-X,0-660-53445-2,0-660-53445-2
82-621-X,1717-7790,1717-7790
68-513-X,0-660-59383-1,0-660-59383-1
83-240-X,1195-4051,1195-4051
82-003-X,1209-1367,1209-1367
82-005-X,1703-2180,1703-2180
82-005-X,1703-2180,1703-2180
89-552-M,1480-9516,1480-9516
89-625-X,1914-3982,1914-3982
82-213-X,1929-3003,1929-3003
32-006-X,1481-4579,1481-4579
92-302-P,0-660-14251-1,0-660-14251-1
92-339-X,0-660-14272-4,0-660-14272-4
92F0009X,1715-0329,1715-0329
92F0028U,1708-2021,1708-2021
84-542-X,0-660-51858-9,0-660-51858-9
71-001-X,1492-5478,1492-5478
71-202-X,0228-345X,0228-345X
71-217-X,0835-8583,0835-8583
32-217-X,0527-6268,0527-6268
32-251-X,0835-0019,0835-0019
33-250-X,0835-0027,0835-0027
95-301-X,0-660-57291-5,0-660-57291-5
81M0012X,0-660-60620-8,0-660-60620-8
82F0081X,1492-5370,1492-5370
71-535-M,0835-510X,0835-510X
71-544-X,1710-2464,1710-2464
84-601-X,1708-2005,1708-2005
85-004-X,1918-9664,1918-9664
89-636-X,1918-6355,1918-6355
89M0016X,0-660-61944-X,0-660-61944-X
89-585-X,0-662-34683-1,0-662-34683-1
16-403-X,1920-6283,1920-6283
95-188-X,0-660-59323-8,0-660-59323-8
95-189-X,0-660-59324-6,0-660-59324-6
95-192-X,0-660-59327-0,0-660-59327-0
95-211-X,0-660-59346-7,0-660-59346-7
95-213-X,0-660-59348-3,0-660-59348-3
95-325-X,0-660-57198-6,0-660-57198-6
95-341-X,0-660-57214-1,0-660-57214-1
95-344-X,0-660-57217-6,0-660-57217-6
91-552-X,1927-6389,1927-6389
89-586-X,0-662-34709-9,0-662-34709-9
89-586-X,0-662-34710-2,0-662-34710-2
95-377-X,0-660-57250-8,0-660-57250-8
95-378-X,0-660-57251-6,0-660-57251-6
95-393-X,0-660-57363-6,0-660-57363-6
95-396-X,0-660-57269-9,0-660-57269-9
95F0264X,0-660-59310-6,0-660-59310-6
95F0266X,0-660-59312-2,0-660-59312-2
95F0267X,0-660-59313-0,0-660-59313-0
93-359-X,0-660-59292-4,0-660-59292-4
93-360-X,0-660-61920-2,0-660-61920-2
94-319-X,0-660-57168-4,0-660-57168-4
88F0017M,1707-567X,1707-567X
89-001-X,1703-2423,1703-2423
89-001-X,1703-2423,1703-2423
89-511-X,0-660-53440-1,0-660-53440-1
89-552-M,1480-1566,1480-1566
89-565-X,0-660-59399-8,0-660-59399-8
95-359-X,0-660-57232-X,0-660-57232-X
92-310-X,0-660-14256-2,0-660-14256-2
92-311-X,0-660-14257-0,0-660-14257-0
92-314-X,0-660-57107-2,0-660-57107-2
92-317-X,0-660-57110-2,0-660-57110-2
92-344-X,0-660-14302-X,0-660-14302-X
92-350-P,0-660-59255-8,0-660-59255-8
92-350-X,0-660-16911-8,0-660-16911-8
92-351-U,0-660-17781-1,0-660-17781-1
93-332-X,0-660-57143-9,0-660-57143-9
93-333-X,0-660-57364-4,0-660-57364-4
93-337-X,0-660-57146-3,0-660-57146-3
61F0019X,1209-1219,1209-1219
89-592-X,0-662-34991-1,0-662-34991-1
89-592-X,0-662-34992-x,0-662-34992-x
95-193-X,0-660-59328-9,0-660-59328-9
95-195-X,0-660-59330-0,0-660-59330-0
95-198-X,0-660-59333-5,0-660-59333-5
95-326-X,0-660-57199-4,0-660-57199-4
95-329-X,0-660-57202-8,0-660-57202-8
98-127-X,0-660-54019-3,0-660-54019-3
55-201-X,1488-7754,1488-7754
56-209-X,1918-0500,1918-0500
89-593-X,0-662-35031-6,0-662-35031-6
94F0004X,0-660-59293-2,0-660-59293-2
94F0006X,0-660-59295-9,0-660-59295-9
95-381-X,0-660-57254-0,0-660-57254-0
95-382-X,0-660-57255-9,0-660-57255-9
95-398-X,0-660-57271-0,0-660-57271-0
95F0253X,0-660-59299-1,0-660-59299-1
95F0255X,0-660-59301-7,0-660-59301-7
93-340-X,0-660-57149-8,0-660-57149-8
95-349-X,0-660-57222-2,0-660-57222-2
94F0007X,0-660-59296-7,0-660-59296-7
94F0008X,0-660-59297-5,0-660-59297-5
95-364-X,0-660-57237-0,0-660-57237-0
62M0004X,1488-7460,1488-7460
63-016-X,1195-5961,1195-5961
63-206-X,0527-5768,0527-5768
89-516-X,0-660-54890-9,0-660-54890-9
89-522-X,0-660-14195-7,0-660-14195-7
89-525-X,0-660-14178-7,0-660-14178-7
95-345-X,0-660-57218-4,0-660-57218-4
95-347-X,0-660-57220-6,0-660-57220-6
98-126-X,0-660-54018-5,0-660-54018-5
95-366-X,0-660-57239-7,0-660-57239-7
92-318-X,0-660-57111-0,0-660-57111-0
92-325-X,0-660-14258-9,0-660-14258-9
92-326-X,0-660-14259-7,0-660-14259-7
92-353-X,0-660-60569-4,0-660-60569-4
92-370-X,0-660-60570-8,0-660-60570-8
92-374-X,0-660-17261-5,0-660-17261-5
92-389-X,0-662-31166-3,0-662-31166-3
89-575-X,0-662-32350-5,0-662-32350-5
89-577-X,0-662-33206-7,0-662-33206-7
93-338-X,0-660-57147-1,0-660-57147-1
91-551-X,1920-9134,1920-9134
91F0015M,1205-996X,1205-996X
91F0015M,1205-996X,1205-996X
91F0035X,0-660-59282-7,0-660-59282-7
92-130-X,0-662-35424-9,0-662-35424-9
95-199-X,0-660-59334-3,0-660-59334-3
95-200-X,0-660-59335-1,0-660-59335-1
95-203-X,0-660-59338-6,0-660-59338-6
95-332-X,0-660-57205-2,0-660-57205-2
95F0256X,0-660-59302-5,0-660-59302-5
94F0011X,0-660-59315-7,0-660-59315-7
95-178-X,0-660-59277-0,0-660-59277-0
95-181-X,0-660-59280-0,0-660-59280-0
95-384-X,0-660-57257-5,0-660-57257-5
95-385-X,0-660-57258-3,0-660-57258-3
95-387-X,0-660-57260-5,0-660-57260-5
95F0257X,0-660-59303-3,0-660-59303-3
95F0259X,0-660-59305-X,0-660-59305-X
89-532-X,0-660-15400-5,0-660-15400-5
89-534-X,0-660-54893-3,0-660-54893-3
95-367-X,0-660-57240-0,0-660-57240-0
95-370-X,0-660-57243-5,0-660-57243-5
63-224-X,0590-9325,0590-9325
63-239-X,1916-6036,1916-6036
63-532-X,0575-8629,0575-8629
89-535-X,0-660-58900-1,0-660-58900-1
89-541-X,0-660-15557-5,0-660-15557-5
93-323-X,0-660-57134-X,0-660-57134-X
92-328-X,0-660-14261-9,0-660-14261-9
92-329-X,0-660-14262-7,0-660-14262-7
92-337-X,0-660-14270-8,0-660-14270-8
93-325-X,0-660-57136-6,0-660-57136-6
95-336-X,0-660-57209-5,0-660-57209-5
92-130-X,0-662-35423-0,0-662-35423-0
92-131-G,0-662-36285-3,0-662-36285-3
92-131-G,0-662-36286-1,0-662-36286-1
92-153-G,1708-3095,1708-3095
95-204-X,0-660-59339-4,0-660-59339-4
95-206-X,0-660-59341-6,0-660-59341-6
95-209-X,0-660-59344-0,0-660-59344-0
95-337-X,0-660-57210-9,0-660-57210-9
95-339-X,0-660-57212-5,0-660-57212-5
95F0260X,0-660-59306-8,0-660-59306-8
92-162-G,1911-5768,1911-5768
95-182-X,0-660-59317-3,0-660-59317-3
95-184-X,0-660-59319-X,0-660-59319-X
95-186-X,0-660-59321-1,0-660-59321-1
95-389-X,0-660-57262-1,0-660-57262-1
95-392-X,0-660-57265-6,0-660-57265-6
95F0262X,0-660-59308-4,0-660-59308-4
95F0263X,0-660-59309-2,0-660-59309-2
75-003-X,1499-4437,1499-4437
95-371-X,0-660-57244-3,0-660-57244-3
95-372-X,0-660-57245-1,0-660-57245-1
88-204-X,1480-8684,1480-8684
88-503-X,0-660-11447-X,0-660-11447-X
88-504-X,0-660-11448-8,0-660-11448-8
88-505-X,0-660-11449-6,0-660-11449-6
88-507-X,0-660-11466-6,0-660-11466-6
89-546-X,0-660-15591-5,0-660-15591-5
89-550-M,1205-6847,1205-6847
93-327-X,0-660-57138-2,0-660-57138-2
85F0027X,1702-9988,1702-9988
85F0033M,1496-4562,1496-4562
92-301-X,0-660-14308-9,0-660-14308-9
92-340-X,0-660-14273-2,0-660-14273-2
92-341-X,0-660-14274-0,0-660-14274-0
92-342-X,0-660-14300-3,0-660-14300-3
93-329-X,0-660-57140-4,0-660-57140-4
93-330-X,0-660-57141-2,0-660-57141-2
61-205-X,1480-7548,1480-7548
61-219-X,1499-7525,1499-7525
92-301-X,0-660-14250-3,0-660-14250-3
92-302-X,0-660-14252-X,0-660-14252-X
92-303-X,0-660-57100-5,0-660-57100-5
92-304-X,0-660-57280-X,0-660-57280-X
22-007-X,0820-9030,0820-9030
57-001-X,0380-0229,0380-0229
35-251-X,1701-0837,1701-0837
36-002-X,0829-8653,0829-8653
36-003-X,1205-5565,1205-5565
61-206-X,0823-0668,0823-0668
21-022-X,1918-0527,1918-0527
21-205-X,1188-7516,1188-7516
54-205-X,1480-8773,1480-8773
62-201-X,1488-3813,1488-3813
13-009-X,1492-5133,1492-5133
13-010-X,1703-7565,1703-7565
61-214-X,0833-0042,0833-0042
61-220-X,1499-8572,1499-8572
46-002-X,1481-5354,1481-5354
47-250-X,0835-0191,0835-0191
62-202-X,1488-3406,1488-3406
15-212-X,1920-8480,1920-8480
16-201-X,1923-6751,1923-6751
17-204-X,0840-8491,0840-8491
17-206-X,0840-8491,0840-8491
15-512-X,0-660-60561-9,0-660-60561-9
32-242-X,1203-6528,1203-6528
32-250-X,0835-0000,0835-0000
32-251-X,1701-1426,1701-1426
33-250-X,1481-9724,1481-9724
41-250-X,1701-2023,1701-2023
42-250-X,0835-0132,0835-0132
61-223-X,1201-057X,1201-057X
61-232-X,1708-6906,1708-6906
21-207-X,1712-4778,1712-4778
23-011-X,1705-1223,1705-1223
23-015-X,1710-3525,1710-3525
55-001-X,1488-4763,1488-4763
56-002-X,0707-9753,0707-9753
57-204-X,1492-3505,1492-3505
57-205-X,1492-3025,1492-3025
57-206-X,1206-0488,1206-0488
13-603-M,1192-0106,1192-0106
13-604-M,1707-1720,1707-1720
13F0016D,1491-0659,1491-0659
21-015-X,1705-088X,1705-088X
21-208-X,1712-4794,1712-4794
21-523-X,0-660-14315-1,0-660-14315-1
51-203-X,0701-7928,0701-7928
56-204-X,1480-8269,1480-8269
62-558-X,0-660-54862-3,0-660-54862-3
62F0014M,1706-7723,1706-7723
13-014-D,1497-8113,1497-8113
13-014-X,0380-0938,0380-0938
13-017-X,1715-7145,1715-7145
13-018-X,1916-4572,1916-4572
21-001-X,1206-5064,1206-5064
21-007-X,1496-2284,1496-2284
41-001-X,1481-5338,1481-5338
51-205-X,1480-7521,1480-7521
51-206-X,1209-1243,1209-1243
16-251-X,1715-9547,1715-9547
16-254-X,1911-6713,1911-6713
23F0001X,1499-3066,1499-3066
25-201-X,0834-440X,0834-440X
26-201-X,1481-7403,1481-7403
33-251-X,0828-9859,0828-9859
34-251-X,1481-9767,1481-9767
35-001-X,0708-6229,0708-6229
21-016-X,1705-0847,1705-0847
21-016-X,1705-0847,1705-0847
43-010-X,0825-1339,0825-1339
21-601-M,1707-0368,1707-0368
21-603-X,0833-6210,0833-6210
26-206-X,1492-3017,1492-3017
56F0003X,1701-2007,1701-2007
57-601-S,0-660-54870-4,0-660-54870-4
57-601-X,1204-0592,1204-0592
57-601-X,1496-4600,1496-4600
95-353-X,0-660-57226-5,0-660-57226-5
21F0001X,1201-8325,1201-8325
21F0003G,1701-8242,1701-8242
21F0003G,1701-8242,1701-8242
56F0004M,1492-7918,1492-7918
62F0026M,1708-8879,1708-8879
62F0032X,1710-0240,1710-0240
13-019-X,1916-4556,1916-4556
13-022-X,1916-4513,1916-4513
87-010-X,1918-8943,1918-8943
89-583-X,0-662-34399-9,0-662-34399-9
89-584-M,1707-7710,1707-7710
51F0001P,1704-1937,1704-1937
52-001-X,1496-8592,1496-8592
52-003-X,0380-5964,0380-5964
15F0009X,1715-0965,1715-0965
13-208-X,0703-7368,0703-7368
93-351-X,0-660-57104-8,0-660-57104-8
93-356-X,0-660-59273-8,0-660-59273-8
15-003-X,1710-2448,1710-2448
26-226-X,1492-532X,1492-532X
31-203-X,0382-4144,0382-4144
31F0027M,1707-5475,1707-5475
34-252-X,0835-006X,0835-006X
35-001-X,1480-8668,1480-8668
35-003-X,1911-5970,1911-5970
15F0030X,1201-1118,1201-1118
95-356-X,0-660-57229-X,0-660-57229-X
95-357-X,0-660-57230-3,0-660-57230-3
21F0005G,1715-3298,1715-3298
56M0002G,1712-3704,1712-3704
35-003-X,1203-7419,1203-7419
61-006-X,0380-075X,0380-075X
61-008-X,1496-5917,1496-5917
57-205-X,1481-4234,1481-4234
57-601-U,0-660-54870-4,0-660-54870-4
57F0008X,0-662-32105-7,0-662-32105-7
53-222-X,0829-8947,0829-8947
13-001-X,1491-0926,1491-0926
13-001-X,1483-2844,1483-2844
36-003-X,1481-5257,1481-5257
13-214-X,0825-9216,0825-9216
13-215-X,1481-3912,1481-3912
13-217-X,1488-3236,1488-3236
61F0027X,1492-5036,1492-5036
61F0041M,1203-2891,1203-2891
62-007-X,1499-9897,1499-9897
15-201-X,0226-2304,0226-2304
15-201-X,1499-9501,1499-9501
15F0023X,1201-1045,1201-1045
32-024-X,0705-551X,0705-551X
13-569-X,1486-6986,1486-6986
15-203-X,0712-8762,0712-8762
15-206-X,1710-5269,1710-5269
15-206-X,1710-5269,1710-5269
22-002-X,1488-9900,1488-9900
32-013-X,1481-5214,1481-5214
32-234-X,1180-5919,1180-5919
32-239-X,1180-596X,1180-596X
32-241-X,1180-5986,1180-5986
35-006-X,1481-5362,1481-5362
35-250-X,0835-0078,0835-0078
12M0013X,0-660-60628-3,0-660-60628-3
11-008-X,1481-1634,1481-1634
11-015-X,1708-0924,1708-0924
12-205-X,0843-6142,0843-6142
92F0153U,1712-0535,1712-0535
11-201-X,0703-2544,0703-2544
11-208-X,0-660-13813-1,0-660-13813-1
63-008-X,0380-7894,0380-7894
13-001-S,0-660-60564-3,0-660-60564-3
11-002-X,1209-0867,1209-0867
11-008-X,0831-5698,0831-5698
11-010-X,1705-0189,1705-0189
63-008-X,1480-7467,1480-7467
63-011-X,1496-3280,1496-3280
63-015-X,0847-0901,0847-0901
63-016-X,1480-8382,1480-8382
63-018-X,1712-5510,1712-5510
63-238-X,1916-5943,1916-5943
63-245-X,1916-792X,1916-792X
11-016-X,1929-946X,1929-946X
11-016-X,1929-946X,1929-946X
11-017-X,1929-9486,1929-9486
11-621-M,1707-0503,1707-0503
63-248-X,1916-7903,1916-7903
63-251-X,1916-8977,1916-8977
65-508-X,1717-9416,1717-9416
66-201-X,0840-3139,0840-3139
12F0046X,0843-6142,0843-6142
13-014-X,1497-8113,1497-8113
13-016-X,1715-0701,1715-0701
11-526-X,1913-5270,1913-5270
63-018-X,1712-5510,1712-5510
63-609-X,0833-2282,0833-2282
63F0002X,1481-6466,1481-6466
12-573-X,0-660-56559-5,0-660-56559-5
12F0057X,1205-6936,1205-6936
13-213-D,1497-7818,1497-7818
11-017-X,1929-9486,1929-9486
11-204-X,0838-4223,0838-4223
11-207-S,0835-085X,0835-085X
11-207-X,0228-5134,0228-5134
63-202-X,0705-4319,0705-4319
11-626-X,1927-503X,1927-503X
11-210-X,1499-1950,1499-1950
11-402-X,0068-8142,0068-8142
63-258-X,1916-9930,1916-9930
63-271-X,1918-9990,1918-9990
63-603-X,0829-7401,0829-7401
67-203-X,1499-1454,1499-1454
67-506-X,0-660-18175-4,0-660-18175-4
95-351-X,0-660-57224-9,0-660-57224-9
44-001-X,1481-5311,1481-5311
45-002-X,1488-7762,1488-7762
13-220-X,1705-2955,1705-2955
13-580-X,0-660-52877-0,0-660-52877-0
13F0022X,1708-9700,1708-9700
62M0001U,0-660-62403-6,0-660-62403-6
11-403-X,0840-6014,0840-6014
63-207-X,0380-6294,0380-6294
63-210-X,1488-0903,1488-0903
63-210-X,0227-017X,0227-017X
63-223-X,0843-557X,0843-557X
13F0026M,1707-0783,1707-0783
21-018-X,1705-0863,1705-0863
11F0026M,1709-7177,1709-7177
21-018-X,1705-0863,1705-0863
21-020-X,1705-2920,1705-2920
21-021-M,1708-1939,1708-1939
12-589-X,1708-2027,1708-2027
10F0007G,1185-4308,1185-4308
10F0005X,0-660-60602-X,0-660-60602-X
10F0016U,1484-7914,1484-7914
11F0019M,1200-5223,1200-5223
63-002-X,0380-7045,0380-7045
63-004-X,1183-7888,1183-7888
63-007-X,1209-1146,1209-1146
63-224-X,1499-4453,1499-4453
63-226-X,0823-1214,0823-1214
63-232-X,0838-2182,0838-2182
10F0016X,1484-7914,1484-7914
10F0024U,1203-2948,1203-2948
11-522-X,1709-8211,1709-8211
11F0027M,1703-0404,1703-0404
12-001-X,1492-0921,1492-0921
12-003-X,1914-2005,1914-2005
65-003-X,1181-6724,1181-6724
65-004-X,1181-6732,1181-6732
65-007-X,1181-6759,1181-6759
65-209-S,1911-8694,1911-8694
65-504-X,0-660-14788-2,0-660-14788-2
10F0174G,0-660-17544-4,0-660-17544-4
10F0174U,1480-7386,1480-7386
10F0174X,1480-8145,1480-8145
64-204-X,0835-1031,0835-1031
64-207-X,0835-1066,0835-1066
31-001-X,1496-2306,1496-2306
11-010-X,0835-9148,0835-9148
21-603-U,0833-6210,0833-6210
57-601-X,0-660-54870-4,0-660-54870-4
96-309-X,0-13-310343-9,0-13-310343-9
68-213-X,1492-1502,1492-1502
22-003-X,1480-7602,1480-7602
11-010-X,1705-0189,1705-0189
89-520-X,0-660-54852-6,0-660-54852-6
85F0018X,1491-9567,1491-9567
92-327-X,0-660-14260-0,0-660-14260-0
62F0072G,1708-6205,1708-6205
11-208-U,0-660-13813-1,0-660-13813-1
93-336-X,0-660-57145-5,0-660-57145-5
93-311-X,0-660-57122-6,0-660-57122-6
98-122-X,0-660-54014-2,0-660-54014-2
95-302-X,0-660-57175-7,0-660-57175-7
95-330-X,0-660-57203-6,0-660-57203-6
13-014-P,1483-2046,1483-2046
89-621-X,1719-7376,1719-7376
63-257-X,1916-9914,1916-9914
56-504-X,0-660-18474-5,0-660-18474-5
91-003-X,1916-1832,1916-1832
84-209-X,1195-4108,1195-4108
75-203-X,1710-7385,1710-7385
31-203-X,1708-6124,1708-6124
15F0019X,1201-1029,1201-1029
12M0014X,0-660-60647-X,0-660-60647-X
15F0024X,1201-1053,1201-1053
51-203-X,1480-7505,1480-7505
85-556-X,0-662-32806-X,0-662-32806-X
92-376-X,0-662-31153-1,0-662-31153-1
88-221-X,1916-2561,1916-2561
15-204-X,1492-8612,1492-8612
91-535-X,0-660-13460-8,0-660-13460-8
11-402-X,1718-5327,1718-5327
89M0015X,1492-0298,1492-0298
32-230-X,1480-7513,1480-7513
71-529-X,0-660-58918-4,0-660-58918-4
34-252-X,1481-9783,1481-9783
61-219-X,1499-7525,1499-7525
88-001-X,1209-1278,1209-1278
63-255-X,1916-8950,1916-8950
26-225-X,0226-4617,0226-4617
13-010-X,1703-7565,1703-7565
95-335-X,0-660-57208-7,0-660-57208-7
95-176-X,0-660-59275-4,0-660-59275-4
82F0001X,1203-2824,1203-2824
50-002-X,1209-1162,1209-1162
50-002-X,1209-1162,1209-1162
21-012-X,1705-0928,1705-0928
17-203-X,0840-8491,0840-8491
21-011-X,1705-0782,1705-0782
63-270-X,1918-9974,1918-9974
42-250-X,1701-1868,1701-1868
75-507-X,0-660-15434-X,0-660-15434-X
11-210-X,0838-0236,0838-0236
95-394-X,0-660-57267-2,0-660-57267-2
82-555-X,0-660-58901-X,0-660-58901-X
23-009-X,1206-5420,1206-5420
54-205-X,0835-5533,0835-5533
23-013-X,1705-4273,1705-4273
22-003SX,0383-008X,0383-008X
23-603-U,0-660-14953-2,0-660-14953-2
25-002-X,1481-529X,1481-529X
11-523-X,0-660-12722-9,0-660-12722-9
62-202-X,1488-447X,1488-447X
82M0009X,1203-2824,1203-2824
15F0025X,1201-1061,1201-1061
63-236-X,1492-9198,1492-9198
16-255-X,1911-673X,1911-673X
11-210-X,1499-1950,1499-1950
89F0133X,1702-9163,1702-9163
53-223-X,1499-318X,1499-318X
15-204-X,1496-4732,1496-4732
15F0022X,1201-1037,1201-1037
26-225-X,1481-5206,1481-5206
31-211-X,1480-6363,1480-6363
32-229-X,1206-4718,1206-4718
45-001-X,0380-5786,0380-5786
85-544-X,0-662-27321-4,0-662-27321-4
13-568-X,0-660-58915-X,0-660-58915-X
71-543-G,1704-8842,1704-8842
89-547-X,0-660-15599-0,0-660-15599-0
21-208-X,1712-4794,1712-4794
71-201-X,1181-957X,1181-957X
81-258-P,0225-3690,0225-3690
15F0031X,1201-1126,1201-1126
61-003-P,0225-9168,0225-9168
13-588-M,0835-5525,0835-5525
87-007-X,1715-2569,1715-2569
23-001-X,0300-0753,0300-0753
82-575-X,1710-8381,1710-8381
82-608-X,0-660-54200-5,0-660-54200-5
74-201-X,1492-6326,1492-6326
65-209-X,1911-8678,1911-8678
95-356-X,0-660-57359-8,0-660-57359-8
61F0060X,1488-7452,1488-7452
85F0015X,1201-298X,1201-298X
85F0015X,1201-298X,1201-298X
96-301-X,0-660-57272-9,0-660-57272-9
46-002-X,0712-8592,0712-8592
64-202-X,0318-5273,0318-5273
81-582-G,1927-6257,1927-6257
85-550-X,0-660-17866-4,0-660-17866-4
62-554-X,0838-3898,0838-3898
57-003-X,0702-0465,0702-0465
57-505-X,0-662-36611-5,0-662-36611-5
96-317-X,0-13-310327-7,0-13-310327-7
45-004-X,1715-1481,1715-1481
23-001-X,1480-7947,1480-7947
31-211-S,0575-9455,0575-9455
13-001-X,1497-8881,1497-8881
63-236-X,1201-0588,1201-0588
63-005-X,0380-6146,0380-6146
62-001-X,1496-2225,1496-2225
85-522-X,1200-4804,1200-4804
95-175-X,0-660-59274-6,0-660-59274-6
74-201-X,0835-4634,0835-4634
82-626-X,1929-7556,1929-7556
83-243-X,1195-4205,1195-4205
83-243-X,1195-4205,1195-4205
53-215-X,0383-5766,0383-5766
53-218-X,0703-654X,0703-654X
13-213-P,1703-9754,1703-9754
91-209-X,0715-9293,0715-9293
96-328-M,1710-8012,1710-8012
82-222-X,1-895581-92-3,1-895581-92-3
57-601-X,1496-4600,1496-4600
63-250-X,1916-9019,1916-9019
16-256-X,1911-6756,1911-6756
13-213-X,1497-7818,1497-7818
61-205-X,1480-7548,1480-7548
95-363-X,0-660-57236-2,0-660-57236-2
63-005-X,1488-0008,1488-0008
15F0017X,1201-1002,1201-1002
35-007-X,1180-5897,1180-5897
85-562-X,0-662-35630-6,0-662-35630-6
89-601-X,0-660-15575-3,0-660-15575-3
89-521-X,0-660-13995-2,0-660-13995-2
84-214-X,0-660-17893-1,0-660-17893-1
21-010-X,1705-0944,1705-0944
95-177-X,0-660-59276-2,0-660-59276-2
95-179-X,0-660-59278-9,0-660-59278-9
11-527-X,0-660-14650-9,0-660-14650-9
62F0041X,1708-9441,1708-9441
13-602-X,0-660-54864-X,0-660-54864-X
89F0115X,1710-4157,1710-4157
56-205-X,1480-8277,1480-8277
67F0001M,1206-8306,1206-8306
82-003-X,1209-1367,1209-1367
87-211-X,1496-418X,1496-418X
61-224-X,1488-7452,1488-7452
22-003-X,1480-7602,1480-7602
89-523-X,0-660-15167-7,0-660-15167-7
83-603-X,0-660-52809-6,0-660-52809-6
82-003-X,0840-6529,0840-6529
82-615-X,1180-4610,1180-4610
75-001-X,0840-8750,0840-8750
12-581-X,1701-5766,1701-5766
89-571-X,92-64-17654-3,92-64-17654-3
57-202-X,1703-2636,1703-2636
57-202-X,1703-2636,1703-2636
15F0028X,1201-1096,1201-1096
95-317-X,0-660-57356-3,0-660-57356-3
67-203-X,1499-1446,1499-1446
84F0208X,1708-0908,1708-0908
26-213-X,1481-4218,1481-4218
95-370-X,0-660-57361-X,0-660-57361-X
87-211-X,1480-879X,1480-879X
12-581-X,1701-5766,1701-5766
89-574-X,0-662-30971-5,0-662-30971-5
45-250-X,0835-0175,0835-0175
31-003-X,1192-1641,1192-1641
71-211-X,1710-3754,1710-3754
83-226-X,0384-2592,0384-2592
71-001-P,0708-3157,0708-3157
95-310-X,0-660-57355-5,0-660-57355-5
81-260-X,0829-7177,0829-7177
85-224-X,1480-7165,1480-7165
81-229-X,1480-8528,1480-8528
16-002-X,1913-4320,1913-4320
95M0013X,0-660-60582-1,0-660-60582-1
63-007-X,1209-1146,1209-1146
96-325-X,0-660-61862-1,0-660-61862-1
